husband(GF1, GM1)
husband(F18A, M18A)
wife(M18A, F18A)
husband(F18B, M18B)
wife(M18B, F18B)
brother(F18A, F18B)
sister(M18A, M18B)
sibling(F18A, F18B)
sibling(F18B, F18A)
sibling(M18A, M18B)
sibling(M18B, M18A)
father(F18A, C18A1)
mother(M18A, C18A1)
father(F18A, C18A2)
mother(M18A, C18A2)
father(F18B, C18B1)
mother(M18B, C18B1)
father(F18B, C18B2)
mother(M18B, C18B2)
son(F18A, GF18)
daughter(F18B, GM18)
son(C18A1, F18A)
daughter(C18A2, M18A)
son(C18B1, F18B)
daughter(C18B2, M18B)
grandfather_chain(GF18, C18A1)
grandfather_chain(GF18, C18A2)
grandfather_chain(GF18, C18B1)
grandfather_chain(GF18, C18B2)
grandmother_chain(GM18, C18A1)
grandmother_chain(GM18, C18A2)
grandmother_chain(GM18, C18B1)
grandmother_chain(GM18, C18B2)
paternal_uncle_chain(GU18, F18A)
paternal_uncle_chain(GU18, F18B)
maternal_aunt_chain(GA18, F18A)
maternal_aunt_chain(GA18, F18B)
cousin_chain(C18A1, C18B1)
cousin_chain(C18B1, C18A1)
cousin_chain(C18A1, C18B2)
cousin_chain(C18B2, C18A1)
cousin_chain(C18A2, C18B1)
cousin_chain(C18B1, C18A2)
cousin_chain(C18A2, C18B2)
cousin_chain(C18B2, C18A2)
husband(GF19, GM19)
wife(GM19, GF19)
brother(GU19, GF19)
sister(GA19, GM19)
sibling(GU19, GF19)
sibling(GF19, GU19)
sibling(GA19, GM19)
sibling(GM19, GA19)
father(GF19, F19A)
mother(GM19, F19A)
father(GF19, F19B)
mother(GM19, F19B)
husband(F19A, M19A)
wife(M19A, F19A)
husband(F19B, M19B)
wife(M19B, F19B)
brother(F19A, F19B)
sister(M19A, M19B)
sibling(F19A, F19B)
sibling(F19B, F19A)
sibling(M19A, M19B)
sibling(M19B, M19A)
father(F19A, C19A1)
mother(M19A, C19A1)
father(F19A, C19A2)
mother(M19A, C19A2)
father(F19B, C19B1)
mother(M19B, C19B1)
father(F19B, C19B2)
mother(M19B, C19B2)
son(F19A, GF19)
daughter(F19B, GM19)
son(C19A1, F19A)
daughter(C19A2, M19A)
son(C19B1, F19B)
daughter(C19B2, M19B)
grandfather_chain(GF19, C19A1)
grandfather_chain(GF19, C19A2)
grandfather_chain(GF19, C19B1)
grandfather_chain(GF19, C19B2)
grandmother_chain(GM19, C19A1)
grandmother_chain(GM19, C19A2)
grandmother_chain(GM19, C19B1)
grandmother_chain(GM19, C19B2)
paternal_uncle_chain(GU19, F19A)
paternal_uncle_chain(GU19, F19B)
maternal_aunt_chain(GA19, F19A)
maternal_aunt_chain(GA19, F19B)
cousin_chain(C19A1, C19B1)
cousin_chain(C19B1, C19A1)
cousin_chain(C19A1, C19B2)
cousin_chain(C19B2, C19A1)
cousin_chain(C19A2, C19B1)
cousin_chain(C19B1, C19A2)
cousin_chain(C19A2, C19B2)
cousin_chain(C19B2, C19A2)
husband(GF20, GM20)
wife(GM20, GF20)
brother(GU20, GF20)
sister(GA20, GM20)
sibling(GU20, GF20)
sibling(GF20, GU20)
sibling(GA20, GM20)
sibling(GM20, GA20)
father(GF20, F20A)
mother(GM20, F20A)
father(GF20, F20B)
mother(GM20, F20B)
husband(F20A, M20A)
wife(M20A, F20A)
husband(F20B, M20B)
wife(M20B, F20B)
brother(F20A, F20B)
sister(M20A, M20B)
sibling(F20A, F20B)
sibling(F20B, F20A)
sibling(M20A, M20B)
sibling(M20B, M20A)
father(F20A, C20A1)
mother(M20A, C20A1)
father(F20A, C20A2)
mother(M20A, C20A2)
father(F20B, C20B1)
mother(M20B, C20B1)
father(F20B, C20B2)
mother(M20B, C20B2)
son(F20A, GF20)
daughter(F20B, GM20)
son(C20A1, F20A)
daughter(C20A2, M20A)
son(C20B1, F20B)
daughter(C20B2, M20B)
grandfather_chain(GF20, C20A1)
grandfather_chain(GF20, C20A2)
grandfather_chain(GF20, C20B1)
grandfather_chain(GF20, C20B2)
grandmother_chain(GM20, C20A1)
grandmother_chain(GM20, C20A2)
grandmother_chain(GM20, C20B1)
grandmother_chain(GM20, C20B2)
paternal_uncle_chain(GU20, F20A)
paternal_uncle_chain(GU20, F20B)
maternal_aunt_chain(GA20, F20A)
maternal_aunt_chain(GA20, F20B)
cousin_chain(C20A1, C20B1)
cousin_chain(C20B1, C20A1)
cousin_chain(C20A1, C20B2)
cousin_chain(C20B2, C20A1)
cousin_chain(C20A2, C20B1)
cousin_chain(C20B1, C20A2)
cousin_chain(C20A2, C20B2)
cousin_chain(C20B2, C20A2)
husband(GF21, GM21)
wife(GM21, GF21)
brother(GU21, GF21)
sister(GA21, GM21)
sibling(GU21, GF21)
sibling(GF21, GU21)
sibling(GA21, GM21)
sibling(GM21, GA21)
father(GF21, F21A)
mother(GM21, F21A)
father(GF21, F21B)
mother(GM21, F21B)
husband(F21A, M21A)
wife(M21A, F21A)
husband(F21B, M21B)
wife(M21B, F21B)
brother(F21A, F21B)
sister(M21A, M21B)
sibling(F21A, F21B)
sibling(F21B, F21A)
sibling(M21A, M21B)
sibling(M21B, M21A)
father(F21A, C21A1)
mother(M21A, C21A1)
father(F21A, C21A2)
mother(M21A, C21A2)
father(F21B, C21B1)
mother(M21B, C21B1)
father(F21B, C21B2)
mother(M21B, C21B2)
son(F21A, GF21)
daughter(F21B, GM21)
son(C21A1, F21A)
daughter(C21A2, M21A)
son(C21B1, F21B)
daughter(C21B2, M21B)
grandfather_chain(GF21, C21A1)
grandfather_chain(GF21, C21A2)
grandfather_chain(GF21, C21B1)
grandfather_chain(GF21, C21B2)
grandmother_chain(GM21, C21A1)
grandmother_chain(GM21, C21A2)
grandmother_chain(GM21, C21B1)
grandmother_chain(GM21, C21B2)
paternal_uncle_chain(GU21, F21A)
paternal_uncle_chain(GU21, F21B)
maternal_aunt_chain(GA21, F21A)
maternal_aunt_chain(GA21, F21B)
cousin_chain(C21A1, C21B1)
cousin_chain(C21B1, C21A1)
cousin_chain(C21A1, C21B2)
cousin_chain(C21B2, C21A1)
cousin_chain(C21A2, C21B1)
cousin_chain(C21B1, C21A2)
cousin_chain(C21A2, C21B2)
cousin_chain(C21B2, C21A2)
husband(GF22, GM22)
wife(GM22, GF22)
brother(GU22, GF22)
sister(GA22, GM22)
sibling(GU22, GF22)
sibling(GF22, GU22)
sibling(GA22, GM22)
sibling(GM22, GA22)
father(GF22, F22A)
mother(GM22, F22A)
father(GF22, F22B)
mother(GM22, F22B)
husband(F22A, M22A)
wife(M22A, F22A)
husband(F22B, M22B)
wife(M22B, F22B)
brother(F22A, F22B)
sister(M22A, M22B)
sibling(F22A, F22B)
sibling(F22B, F22A)
sibling(M22A, M22B)
sibling(M22B, M22A)
father(F22A, C22A1)
mother(M22A, C22A1)
father(F22A, C22A2)
mother(M22A, C22A2)
father(F22B, C22B1)
mother(M22B, C22B1)
father(F22B, C22B2)
mother(M22B, C22B2)
son(F22A, GF22)
daughter(F22B, GM22)
son(C22A1, F22A)
daughter(C22A2, M22A)
son(C22B1, F22B)
daughter(C22B2, M22B)
grandfather_chain(GF22, C22A1)
grandfather_chain(GF22, C22A2)
grandfather_chain(GF22, C22B1)
grandfather_chain(GF22, C22B2)
grandmother_chain(GM22, C22A1)
grandmother_chain(GM22, C22A2)
grandmother_chain(GM22, C22B1)
grandmother_chain(GM22, C22B2)
paternal_uncle_chain(GU22, F22A)
paternal_uncle_chain(GU22, F22B)
maternal_aunt_chain(GA22, F22A)
maternal_aunt_chain(GA22, F22B)
cousin_chain(C22A1, C22B1)
cousin_chain(C22B1, C22A1)
cousin_chain(C22A1, C22B2)
cousin_chain(C22B2, C22A1)
cousin_chain(C22A2, C22B1)
cousin_chain(C22B1, C22A2)
cousin_chain(C22A2, C22B2)
cousin_chain(C22B2, C22A2)
husband(GF23, GM23)
wife(GM23, GF23)
brother(GU23, GF23)
sister(GA23, GM23)
sibling(GU23, GF23)
sibling(GF23, GU23)
sibling(GA23, GM23)
sibling(GM23, GA23)
father(GF23, F23A)
mother(GM23, F23A)
father(GF23, F23B)
mother(GM23, F23B)
husband(F23A, M23A)
wife(M23A, F23A)
husband(F23B, M23B)
wife(M23B, F23B)
brother(F23A, F23B)
sister(M23A, M23B)
sibling(F23A, F23B)
sibling(F23B, F23A)
sibling(M23A, M23B)
sibling(M23B, M23A)
father(F23A, C23A1)
mother(M23A, C23A1)
father(F23A, C23A2)
mother(M23A, C23A2)
father(F23B, C23B1)
mother(M23B, C23B1)
father(F23B, C23B2)
mother(M23B, C23B2)
son(F23A, GF23)
daughter(F23B, GM23)
son(C23A1, F23A)
daughter(C23A2, M23A)
son(C23B1, F23B)
daughter(C23B2, M23B)
grandfather_chain(GF23, C23A1)
grandfather_chain(GF23, C23A2)
grandfather_chain(GF23, C23B1)
grandfather_chain(GF23, C23B2)
grandmother_chain(GM23, C23A1)
grandmother_chain(GM23, C23A2)
grandmother_chain(GM23, C23B1)
grandmother_chain(GM23, C23B2)
paternal_uncle_chain(GU23, F23A)
paternal_uncle_chain(GU23, F23B)
maternal_aunt_chain(GA23, F23A)
maternal_aunt_chain(GA23, F23B)
cousin_chain(C23A1, C23B1)
cousin_chain(C23B1, C23A1)
cousin_chain(C23A1, C23B2)
cousin_chain(C23B2, C23A1)
cousin_chain(C23A2, C23B1)
cousin_chain(C23B1, C23A2)
cousin_chain(C23A2, C23B2)
cousin_chain(C23B2, C23A2)
husband(GF24, GM24)
wife(GM24, GF24)
brother(GU24, GF24)
sister(GA24, GM24)
sibling(GU24, GF24)
sibling(GF24, GU24)
sibling(GA24, GM24)
sibling(GM24, GA24)
father(GF24, F24A)
mother(GM24, F24A)
father(GF24, F24B)
mother(GM24, F24B)
husband(F24A, M24A)
wife(M24A, F24A)
husband(F24B, M24B)
wife(M24B, F24B)
brother(F24A, F24B)
sister(M24A, M24B)
sibling(F24A, F24B)
sibling(F24B, F24A)
sibling(M24A, M24B)
sibling(M24B, M24A)
father(F24A, C24A1)
mother(M24A, C24A1)
father(F24A, C24A2)
mother(M24A, C24A2)
father(F24B, C24B1)
mother(M24B, C24B1)
father(F24B, C24B2)
mother(M24B, C24B2)
son(F24A, GF24)
daughter(F24B, GM24)
son(C24A1, F24A)
daughter(C24A2, M24A)
son(C24B1, F24B)
daughter(C24B2, M24B)
grandfather_chain(GF24, C24A1)
grandfather_chain(GF24, C24A2)
grandfather_chain(GF24, C24B1)
grandfather_chain(GF24, C24B2)
grandmother_chain(GM24, C24A1)
grandmother_chain(GM24, C24A2)
grandmother_chain(GM24, C24B1)
grandmother_chain(GM24, C24B2)
paternal_uncle_chain(GU24, F24A)
paternal_uncle_chain(GU24, F24B)
maternal_aunt_chain(GA24, F24A)
maternal_aunt_chain(GA24, F24B)
cousin_chain(C24A1, C24B1)
cousin_chain(C24B1, C24A1)
cousin_chain(C24A1, C24B2)
cousin_chain(C24B2, C24A1)
cousin_chain(C24A2, C24B1)
cousin_chain(C24B1, C24A2)
cousin_chain(C24A2, C24B2)
cousin_chain(C24B2, C24A2)
husband(GF25, GM25)
wife(GM25, GF25)
brother(GU25, GF25)
sister(GA25, GM25)
sibling(GU25, GF25)
sibling(GF25, GU25)
sibling(GA25, GM25)
sibling(GM25, GA25)
father(GF25, F25A)
mother(GM25, F25A)
father(GF25, F25B)
mother(GM25, F25B)
husband(F25A, M25A)
wife(M25A, F25A)
husband(F25B, M25B)
wife(M25B, F25B)
brother(F25A, F25B)
sister(M25A, M25B)
sibling(F25A, F25B)
sibling(F25B, F25A)
sibling(M25A, M25B)
sibling(M25B, M25A)
father(F25A, C25A1)
mother(M25A, C25A1)
father(F25A, C25A2)
mother(M25A, C25A2)
father(F25B, C25B1)
mother(M25B, C25B1)
father(F25B, C25B2)
mother(M25B, C25B2)
son(F25A, GF25)
daughter(F25B, GM25)
son(C25A1, F25A)
daughter(C25A2, M25A)
son(C25B1, F25B)
daughter(C25B2, M25B)
grandfather_chain(GF25, C25A1)
grandfather_chain(GF25, C25A2)
grandfather_chain(GF25, C25B1)
grandfather_chain(GF25, C25B2)
grandmother_chain(GM25, C25A1)
grandmother_chain(GM25, C25A2)
grandmother_chain(GM25, C25B1)
grandmother_chain(GM25, C25B2)
paternal_uncle_chain(GU25, F25A)
paternal_uncle_chain(GU25, F25B)
maternal_aunt_chain(GA25, F25A)
maternal_aunt_chain(GA25, F25B)
cousin_chain(C25A1, C25B1)
cousin_chain(C25B1, C25A1)
cousin_chain(C25A1, C25B2)
cousin_chain(C25B2, C25A1)
cousin_chain(C25A2, C25B1)
cousin_chain(C25B1, C25A2)
cousin_chain(C25A2, C25B2)
cousin_chain(C25B2, C25A2)
husband(GF26, GM26)
wife(GM26, GF26)
brother(GU26, GF26)
sister(GA26, GM26)
sibling(GU26, GF26)
sibling(GF26, GU26)
sibling(GA26, GM26)
sibling(GM26, GA26)
father(GF26, F26A)
mother(GM26, F26A)
father(GF26, F26B)
mother(GM26, F26B)
husband(F26A, M26A)
wife(M26A, F26A)
husband(F26B, M26B)
wife(M26B, F26B)
brother(F26A, F26B)
sister(M26A, M26B)
sibling(F26A, F26B)
sibling(F26B, F26A)
sibling(M26A, M26B)
sibling(M26B, M26A)
father(F26A, C26A1)
mother(M26A, C26A1)
father(F26A, C26A2)
mother(M26A, C26A2)
father(F26B, C26B1)
mother(M26B, C26B1)
father(F26B, C26B2)
mother(M26B, C26B2)
son(F26A, GF26)
daughter(F26B, GM26)
son(C26A1, F26A)
daughter(C26A2, M26A)
son(C26B1, F26B)
daughter(C26B2, M26B)
grandfather_chain(GF26, C26A1)
grandfather_chain(GF26, C26A2)
grandfather_chain(GF26, C26B1)
grandfather_chain(GF26, C26B2)
grandmother_chain(GM26, C26A1)
grandmother_chain(GM26, C26A2)
grandmother_chain(GM26, C26B1)
grandmother_chain(GM26, C26B2)
paternal_uncle_chain(GU26, F26A)
paternal_uncle_chain(GU26, F26B)
maternal_aunt_chain(GA26, F26A)
maternal_aunt_chain(GA26, F26B)
cousin_chain(C26A1, C26B1)
cousin_chain(C26B1, C26A1)
cousin_chain(C26A1, C26B2)
cousin_chain(C26B2, C26A1)
cousin_chain(C26A2, C26B1)
cousin_chain(C26B1, C26A2)
cousin_chain(C26A2, C26B2)
cousin_chain(C26B2, C26A2)
husband(GF27, GM27)
wife(GM27, GF27)
brother(GU27, GF27)
sister(GA27, GM27)
sibling(GU27, GF27)
sibling(GF27, GU27)
sibling(GA27, GM27)
sibling(GM27, GA27)
father(GF27, F27A)
mother(GM27, F27A)
father(GF27, F27B)
mother(GM27, F27B)
husband(F27A, M27A)
wife(M27A, F27A)
husband(F27B, M27B)
wife(M27B, F27B)
brother(F27A, F27B)
sister(M27A, M27B)
sibling(F27A, F27B)
sibling(F27B, F27A)
sibling(M27A, M27B)
sibling(M27B, M27A)
father(F27A, C27A1)
mother(M27A, C27A1)
father(F27A, C27A2)
mother(M27A, C27A2)
father(F27B, C27B1)
mother(M27B, C27B1)
father(F27B, C27B2)
mother(M27B, C27B2)
son(F27A, GF27)
daughter(F27B, GM27)
son(C27A1, F27A)
daughter(C27A2, M27A)
son(C27B1, F27B)
daughter(C27B2, M27B)
grandfather_chain(GF27, C27A1)
grandfather_chain(GF27, C27A2)
grandfather_chain(GF27, C27B1)
grandfather_chain(GF27, C27B2)
grandmother_chain(GM27, C27A1)
grandmother_chain(GM27, C27A2)
grandmother_chain(GM27, C27B1)
grandmother_chain(GM27, C27B2)
paternal_uncle_chain(GU27, F27A)
paternal_uncle_chain(GU27, F27B)
maternal_aunt_chain(GA27, F27A)
maternal_aunt_chain(GA27, F27B)
cousin_chain(C27A1, C27B1)
cousin_chain(C27B1, C27A1)
cousin_chain(C27A1, C27B2)
cousin_chain(C27B2, C27A1)
cousin_chain(C27A2, C27B1)
cousin_chain(C27B1, C27A2)
cousin_chain(C27A2, C27B2)
cousin_chain(C27B2, C27A2)
husband(GF28, GM28)
wife(GM28, GF28)
brother(GU28, GF28)
sister(GA28, GM28)
sibling(GU28, GF28)
sibling(GF28, GU28)
sibling(GA28, GM28)
sibling(GM28, GA28)
father(GF28, F28A)
mother(GM28, F28A)
father(GF28, F28B)
mother(GM28, F28B)
husband(F28A, M28A)
wife(M28A, F28A)
husband(F28B, M28B)
wife(M28B, F28B)
brother(F28A, F28B)
sister(M28A, M28B)
sibling(F28A, F28B)
sibling(F28B, F28A)
sibling(M28A, M28B)
sibling(M28B, M28A)
father(F28A, C28A1)
mother(M28A, C28A1)
father(F28A, C28A2)
mother(M28A, C28A2)
father(F28B, C28B1)
mother(M28B, C28B1)
father(F28B, C28B2)
mother(M28B, C28B2)
son(F28A, GF28)
daughter(F28B, GM28)
son(C28A1, F28A)
daughter(C28A2, M28A)
son(C28B1, F28B)
daughter(C28B2, M28B)
grandfather_chain(GF28, C28A1)
grandfather_chain(GF28, C28A2)
grandfather_chain(GF28, C28B1)
grandfather_chain(GF28, C28B2)
grandmother_chain(GM28, C28A1)
grandmother_chain(GM28, C28A2)
grandmother_chain(GM28, C28B1)
grandmother_chain(GM28, C28B2)
paternal_uncle_chain(GU28, F28A)
paternal_uncle_chain(GU28, F28B)
maternal_aunt_chain(GA28, F28A)
maternal_aunt_chain(GA28, F28B)
cousin_chain(C28A1, C28B1)
cousin_chain(C28B1, C28A1)
cousin_chain(C28A1, C28B2)
cousin_chain(C28B2, C28A1)
cousin_chain(C28A2, C28B1)
cousin_chain(C28B1, C28A2)
cousin_chain(C28A2, C28B2)
cousin_chain(C28B2, C28A2)
husband(GF29, GM29)
wife(GM29, GF29)
brother(GU29, GF29)
sister(GA29, GM29)
sibling(GU29, GF29)
sibling(GF29, GU29)
sibling(GA29, GM29)
sibling(GM29, GA29)
father(GF29, F29A)
mother(GM29, F29A)
father(GF29, F29B)
mother(GM29, F29B)
husband(F29A, M29A)
wife(M29A, F29A)
husband(F29B, M29B)
wife(M29B, F29B)
brother(F29A, F29B)
sister(M29A, M29B)
sibling(F29A, F29B)
sibling(F29B, F29A)
sibling(M29A, M29B)
sibling(M29B, M29A)
father(F29A, C29A1)
mother(M29A, C29A1)
father(F29A, C29A2)
mother(M29A, C29A2)
father(F29B, C29B1)
mother(M29B, C29B1)
father(F29B, C29B2)
mother(M29B, C29B2)
son(F29A, GF29)
daughter(F29B, GM29)
son(C29A1, F29A)
daughter(C29A2, M29A)
son(C29B1, F29B)
daughter(C29B2, M29B)
grandfather_chain(GF29, C29A1)
grandfather_chain(GF29, C29A2)
grandfather_chain(GF29, C29B1)
grandfather_chain(GF29, C29B2)
grandmother_chain(GM29, C29A1)
grandmother_chain(GM29, C29A2)
grandmother_chain(GM29, C29B1)
grandmother_chain(GM29, C29B2)
paternal_uncle_chain(GU29, F29A)
paternal_uncle_chain(GU29, F29B)
maternal_aunt_chain(GA29, F29A)
maternal_aunt_chain(GA29, F29B)
cousin_chain(C29A1, C29B1)
cousin_chain(C29B1, C29A1)
cousin_chain(C29A1, C29B2)
cousin_chain(C29B2, C29A1)
cousin_chain(C29A2, C29B1)
cousin_chain(C29B1, C29A2)
cousin_chain(C29A2, C29B2)
cousin_chain(C29B2, C29A2)
husband(GF30, GM30)
wife(GM30, GF30)
brother(GU30, GF30)
sister(GA30, GM30)
sibling(GU30, GF30)
sibling(GF30, GU30)
sibling(GA30, GM30)
sibling(GM30, GA30)
father(GF30, F30A)
mother(GM30, F30A)
father(GF30, F30B)
mother(GM30, F30B)
husband(F30A, M30A)
wife(M30A, F30A)
husband(F30B, M30B)
wife(M30B, F30B)
brother(F30A, F30B)
sister(M30A, M30B)
sibling(F30A, F30B)
sibling(F30B, F30A)
sibling(M30A, M30B)
sibling(M30B, M30A)
father(F30A, C30A1)
mother(M30A, C30A1)
father(F30A, C30A2)
mother(M30A, C30A2)
father(F30B, C30B1)
mother(M30B, C30B1)
father(F30B, C30B2)
mother(M30B, C30B2)
son(F30A, GF30)
daughter(F30B, GM30)
son(C30A1, F30A)
daughter(C30A2, M30A)
son(C30B1, F30B)
daughter(C30B2, M30B)
grandfather_chain(GF30, C30A1)
grandfather_chain(GF30, C30A2)
grandfather_chain(GF30, C30B1)
grandfather_chain(GF30, C30B2)
grandmother_chain(GM30, C30A1)
grandmother_chain(GM30, C30A2)
grandmother_chain(GM30, C30B1)
grandmother_chain(GM30, C30B2)
paternal_uncle_chain(GU30, F30A)
paternal_uncle_chain(GU30, F30B)
maternal_aunt_chain(GA30, F30A)
maternal_aunt_chain(GA30, F30B)
cousin_chain(C30A1, C30B1)
cousin_chain(C30B1, C30A1)
cousin_chain(C30A1, C30B2)
cousin_chain(C30B2, C30A1)
cousin_chain(C30A2, C30B1)
cousin_chain(C30B1, C30A2)
cousin_chain(C30A2, C30B2)
cousin_chain(C30B2, C30A2)
husband(GF31, GM31)
wife(GM31, GF31)
brother(GU31, GF31)
sister(GA31, GM31)
sibling(GU31, GF31)
sibling(GF31, GU31)
sibling(GA31, GM31)
sibling(GM31, GA31)
father(GF31, F31A)
mother(GM31, F31A)
father(GF31, F31B)
mother(GM31, F31B)
husband(F31A, M31A)
wife(M31A, F31A)
husband(F31B, M31B)
wife(M31B, F31B)
brother(F31A, F31B)
sister(M31A, M31B)
sibling(F31A, F31B)
sibling(F31B, F31A)
sibling(M31A, M31B)
sibling(M31B, M31A)
father(F31A, C31A1)
mother(M31A, C31A1)
father(F31A, C31A2)
mother(M31A, C31A2)
father(F31B, C31B1)
mother(M31B, C31B1)
father(F31B, C31B2)
mother(M31B, C31B2)
son(F31A, GF31)
daughter(F31B, GM31)
son(C31A1, F31A)
daughter(C31A2, M31A)
son(C31B1, F31B)
daughter(C31B2, M31B)
grandfather_chain(GF31, C31A1)
grandfather_chain(GF31, C31A2)
grandfather_chain(GF31, C31B1)
grandfather_chain(GF31, C31B2)
grandmother_chain(GM31, C31A1)
grandmother_chain(GM31, C31A2)
grandmother_chain(GM31, C31B1)
grandmother_chain(GM31, C31B2)
paternal_uncle_chain(GU31, F31A)
paternal_uncle_chain(GU31, F31B)
maternal_aunt_chain(GA31, F31A)
maternal_aunt_chain(GA31, F31B)
cousin_chain(C31A1, C31B1)
cousin_chain(C31B1, C31A1)
cousin_chain(C31A1, C31B2)
cousin_chain(C31B2, C31A1)
cousin_chain(C31A2, C31B1)
cousin_chain(C31B1, C31A2)
cousin_chain(C31A2, C31B2)
cousin_chain(C31B2, C31A2)
husband(GF32, GM32)
wife(GM32, GF32)
brother(GU32, GF32)
sister(GA32, GM32)
sibling(GU32, GF32)
sibling(GF32, GU32)
sibling(GA32, GM32)
sibling(GM32, GA32)
father(GF32, F32A)
mother(GM32, F32A)
father(GF32, F32B)
mother(GM32, F32B)
husband(F32A, M32A)
wife(M32A, F32A)
husband(F32B, M32B)
wife(M32B, F32B)
brother(F32A, F32B)
sister(M32A, M32B)
sibling(F32A, F32B)
sibling(F32B, F32A)
sibling(M32A, M32B)
sibling(M32B, M32A)
father(F32A, C32A1)
mother(M32A, C32A1)
father(F32A, C32A2)
mother(M32A, C32A2)
father(F32B, C32B1)
mother(M32B, C32B1)
father(F32B, C32B2)
mother(M32B, C32B2)
son(F32A, GF32)
daughter(F32B, GM32)
son(C32A1, F32A)
daughter(C32A2, M32A)
son(C32B1, F32B)
daughter(C32B2, M32B)
grandfather_chain(GF32, C32A1)
grandfather_chain(GF32, C32A2)
grandfather_chain(GF32, C32B1)
grandfather_chain(GF32, C32B2)
grandmother_chain(GM32, C32A1)
grandmother_chain(GM32, C32A2)
grandmother_chain(GM32, C32B1)
grandmother_chain(GM32, C32B2)
paternal_uncle_chain(GU32, F32A)
paternal_uncle_chain(GU32, F32B)
maternal_aunt_chain(GA32, F32A)
maternal_aunt_chain(GA32, F32B)
cousin_chain(C32A1, C32B1)
cousin_chain(C32B1, C32A1)
cousin_chain(C32A1, C32B2)
cousin_chain(C32B2, C32A1)
cousin_chain(C32A2, C32B1)
cousin_chain(C32B1, C32A2)
cousin_chain(C32A2, C32B2)
cousin_chain(C32B2, C32A2)
husband(GF33, GM33)
wife(GM33, GF33)
brother(GU33, GF33)
sister(GA33, GM33)
sibling(GU33, GF33)
sibling(GF33, GU33)
sibling(GA33, GM33)
sibling(GM33, GA33)
father(GF33, F33A)
mother(GM33, F33A)
father(GF33, F33B)
mother(GM33, F33B)
husband(F33A, M33A)
wife(M33A, F33A)
husband(F33B, M33B)
wife(M33B, F33B)
brother(F33A, F33B)
sister(M33A, M33B)
sibling(F33A, F33B)
sibling(F33B, F33A)
sibling(M33A, M33B)
sibling(M33B, M33A)
father(F33A, C33A1)
mother(M33A, C33A1)
father(F33A, C33A2)
mother(M33A, C33A2)
father(F33B, C33B1)
mother(M33B, C33B1)
father(F33B, C33B2)
mother(M33B, C33B2)
son(F33A, GF33)
daughter(F33B, GM33)
son(C33A1, F33A)
daughter(C33A2, M33A)
son(C33B1, F33B)
daughter(C33B2, M33B)
grandfather_chain(GF33, C33A1)
grandfather_chain(GF33, C33A2)
grandfather_chain(GF33, C33B1)
grandfather_chain(GF33, C33B2)
grandmother_chain(GM33, C33A1)
grandmother_chain(GM33, C33A2)
grandmother_chain(GM33, C33B1)
grandmother_chain(GM33, C33B2)
paternal_uncle_chain(GU33, F33A)
paternal_uncle_chain(GU33, F33B)
maternal_aunt_chain(GA33, F33A)
maternal_aunt_chain(GA33, F33B)
cousin_chain(C33A1, C33B1)
cousin_chain(C33B1, C33A1)
cousin_chain(C33A1, C33B2)
cousin_chain(C33B2, C33A1)
cousin_chain(C33A2, C33B1)
cousin_chain(C33B1, C33A2)
cousin_chain(C33A2, C33B2)
cousin_chain(C33B2, C33A2)
husband(GF34, GM34)
wife(GM34, GF34)
brother(GU34, GF34)
sister(GA34, GM34)
sibling(GU34, GF34)
sibling(GF34, GU34)
sibling(GA34, GM34)
sibling(GM34, GA34)
father(GF34, F34A)
mother(GM34, F34A)
father(GF34, F34B)
mother(GM34, F34B)
husband(F34A, M34A)
wife(M34A, F34A)
husband(F34B, M34B)
wife(M34B, F34B)
brother(F34A, F34B)
sister(M34A, M34B)
sibling(F34A, F34B)
sibling(F34B, F34A)
sibling(M34A, M34B)
sibling(M34B, M34A)
father(F34A, C34A1)
mother(M34A, C34A1)
father(F34A, C34A2)
mother(M34A, C34A2)
father(F34B, C34B1)
mother(M34B, C34B1)
father(F34B, C34B2)
mother(M34B, C34B2)
son(F34A, GF34)
daughter(F34B, GM34)
son(C34A1, F34A)
daughter(C34A2, M34A)
son(C34B1, F34B)
daughter(C34B2, M34B)
grandfather_chain(GF34, C34A1)
grandfather_chain(GF34, C34A2)
grandfather_chain(GF34, C34B1)
grandfather_chain(GF34, C34B2)
grandmother_chain(GM34, C34A1)
grandmother_chain(GM34, C34A2)
grandmother_chain(GM34, C34B1)
grandmother_chain(GM34, C34B2)
paternal_uncle_chain(GU34, F34A)
paternal_uncle_chain(GU34, F34B)
maternal_aunt_chain(GA34, F34A)
maternal_aunt_chain(GA34, F34B)
cousin_chain(C34A1, C34B1)
cousin_chain(C34B1, C34A1)
cousin_chain(C34A1, C34B2)
cousin_chain(C34B2, C34A1)
cousin_chain(C34A2, C34B1)
cousin_chain(C34B1, C34A2)
cousin_chain(C34A2, C34B2)
cousin_chain(C34B2, C34A2)
husband(GF35, GM35)
wife(GM35, GF35)
brother(GU35, GF35)
sister(GA35, GM35)
sibling(GU35, GF35)
sibling(GF35, GU35)
sibling(GA35, GM35)
sibling(GM35, GA35)
father(GF35, F35A)
mother(GM35, F35A)
father(GF35, F35B)
mother(GM35, F35B)
husband(F35A, M35A)
wife(M35A, F35A)
husband(F35B, M35B)
wife(M35B, F35B)
brother(F35A, F35B)
sister(M35A, M35B)
sibling(F35A, F35B)
sibling(F35B, F35A)
sibling(M35A, M35B)
sibling(M35B, M35A)
father(F35A, C35A1)
mother(M35A, C35A1)
