sibling(GA22, GM22)
maternal_aunt_chain(GA21, F21A)
paternal_uncle_chain(GU27, F27B)
cousin_chain(C18B1, C18A2)
sibling(GF7, GU7)
cousin_chain(C4B1, C4A2)
sibling(GF5, GU5)
father(F36A, C36A1)
paternal_uncle_chain(GU4, F4A)
mother(M32B, C32B2)
cousin_chain(C26A1, C26B2)
cousin_chain(C18A2, C18B1)
father(GF19, F19A)
sibling(GA35, GM35)
sibling(M10A, M10B)
sibling(M10B, M10A)
son(C31A1, F31A)
cousin_chain(C14B2, C14A2)
husband(F34A, M34A)
husband(F26A, M26A)
daughter(F8B, GM8)
mother(GM18, F18B)
grandmother_chain(GM2, C2A1)
mother(M17B, C17B1)
sibling(M39B, M39A)
husband(GF34, GM34)
sibling(GM19, GA19)
paternal_uncle_chain(GU10, F10A)
maternal_aunt_chain(GA39, F39A)
son(F17A, GF17)
sibling(GM11, GA11)
father(F1A, C1A2)
mother(M1B, C1B2)
sibling(F27A, F27B)
brother(F19A, F19B)
brother(F29A, F29B)
sibling(GU33, GF33)
mother(M9A, C9A2)
maternal_aunt_chain(GA8, F8B)
mother(M2A, C2A1)
mother(M9B, C9B2)
mother(M26B, C26B1)
sibling(M16A, M16B)
cousin_chain(C31A1, C31B1)
sibling(GA9, GM9)
husband(F3A, M3A)
paternal_uncle_chain(GU24, F24A)
grandmother_chain(GM30, C30B1)
grandfather_chain(GF1, C1A1)
son(C16B1, F16B)
mother(GM29, F29B)
daughter(F5B, GM5)
sister(M21A, M21B)
sibling(GA33, GM33)
grandmother_chain(GM11, C11B2)
sibling(GM17, GA17)
father(F9A, C9A2)
sibling(GM24, GA24)
daughter(C38B2, M38B)
daughter(C17B2, M17B)
sibling(F23A, F23B)
mother(GM27, F27B)
grandfather_chain(GF22, C22B2)
son(C32A1, F32A)
father(F21B, C21B2)
paternal_uncle_chain(GU37, F37B)
cousin_chain(C22A1, C22B1)
grandmother_chain(GM37, C37B1)
grandfather_chain(GF28, C28B1)
daughter(F37B, GM37)
sibling(GF12, GU12)
grandfather_chain(GF4, C4A1)
sibling(M19A, M19B)
sister(M36A, M36B)
cousin_chain(C25A1, C25B2)
cousin_chain(C16B1, C16A1)
sibling(GM21, GA21)
sibling(GA15, GM15)
son(C20A1, F20A)
sibling(GU21, GF21)
grandmother_chain(GM2, C2B2)
mother(M15B, C15B2)
sibling(F36A, F36B)
cousin_chain(C36B2, C36A2)
father(F31B, C31B1)
sibling(GM12, GA12)
husband(F17A, M17A)
mother(M15A, C15A1)
son(C38A1, F38A)
cousin_chain(C7A2, C7B2)
sister(M18A, M18B)
father(F6B, C6B2)
sibling(GU40, GF40)
sibling(M9A, M9B)
sister(M15A, M15B)
cousin_chain(C37A1, C37B2)
mother(GM2, F2A)
cousin_chain(C40A2, C40B2)
grandmother_chain(GM6, C6A2)
paternal_uncle_chain(GU24, F24B)
wife(M31A, F31A)
cousin_chain(C37B1, C37A2)
sibling(M6A, M6B)
sibling(GF23, GU23)
cousin_chain(C40B2, C40A1)
mother(M11B, C11B1)
son(C4B1, F4B)
mother(GM19, F19A)
grandfather_chain(GF26, C26A2)
son(C1B1, F1B)
mother(M7B, C7B2)
mother(M24B, C24B2)
mother(M40B, C40B2)
grandmother_chain(GM33, C33A1)
cousin_chain(C11A2, C11B2)
wife(GM10, GF10)
father(F9B, C9B1)
sibling(GF30, GU30)
brother(GU21, GF21)
sibling(GA31, GM31)
sibling(GA16, GM16)
grandmother_chain(GM39, C39B1)
brother(F36A, F36B)
cousin_chain(C3B2, C3A2)
grandfather_chain(GF8, C8B1)
sibling(F39B, F39A)
sibling(F14B, F14A)
sibling(F20A, F20B)
son(C34B1, F34B)
grandfather_chain(GF24, C24B2)
cousin_chain(C2A2, C2B1)
daughter(C5A2, M5A)
husband(F6B, M6B)
mother(GM14, F14B)
husband(GF14, GM14)
wife(GM15, GF15)
father(F28A, C28A1)
paternal_uncle_chain(GU22, F22A)
grandfather_chain(GF35, C35B1)
grandfather_chain(GF27, C27B1)
husband(F40B, M40B)
sibling(GA24, GM24)
mother(M10B, C10B2)
paternal_uncle_chain(GU17, F17B)
grandmother_chain(GM35, C35B1)
grandmother_chain(GM11, C11A2)
daughter(C26A2, M26A)
father(F32A, C32A1)
father(F31B, C31B2)
brother(GU4, GF4)
father(F6B, C6B1)
husband(GF7, GM7)
father(GF23, F23A)
son(C40B1, F40B)
cousin_chain(C29A1, C29B2)
son(C39B1, F39B)
sibling(GF40, GU40)
cousin_chain(C16B1, C16A2)
grandmother_chain(GM1, C1B1)
cousin_chain(C21B1, C21A1)
brother(F38A, F38B)
husband(F16A, M16A)
mother(M39A, C39A2)
father(F20B, C20B2)
husband(F34B, M34B)
grandmother_chain(GM14, C14B2)
grandmother_chain(GM19, C19B2)
cousin_chain(C1B2, C1A1)
sibling(GF10, GU10)
husband(F9B, M9B)
mother(M14A, C14A1)
grandmother_chain(GM21, C21A1)
cousin_chain(C18B2, C18A1)
sibling(GF38, GU38)
grandfather_chain(GF26, C26A1)
mother(M33A, C33A1)
father(F14A, C14A2)
son(F13A, GF13)
grandmother_chain(GM40, C40B1)
brother(F14A, F14B)
brother(F21A, F21B)
paternal_uncle_chain(GU30, F30B)
son(C31B1, F31B)
cousin_chain(C6A1, C6B1)
cousin_chain(C26A2, C26B1)
sister(M30A, M30B)
sibling(GU35, GF35)
grandfather_chain(GF23, C23A2)
grandmother_chain(GM23, C23B2)
father(F1B, C1B1)
mother(M20A, C20A1)
wife(M33B, F33B)
husband(F38B, M38B)
grandfather_chain(GF8, C8B2)
mother(GM10, F10A)
cousin_chain(C32A2, C32B1)
brother(GU38, GF38)
cousin_chain(C13B2, C13A2)
daughter(C40B2, M40B)
sister(GA19, GM19)
maternal_aunt_chain(GA24, F24B)
sister(GA26, GM26)
sibling(GU12, GF12)
cousin_chain(C28B2, C28A2)
grandmother_chain(GM7, C7A2)
wife(M35A, F35A)
sibling(GF34, GU34)
sibling(GF37, GU37)
father(F15A, C15A1)
husband(F4B, M4B)
wife(M6A, F6A)
paternal_uncle_chain(GU5, F5B)
grandmother_chain(GM13, C13A1)
grandfather_chain(GF9, C9A2)
husband(F31B, M31B)
son(F28A, GF28)
sibling(F40A, F40B)
mother(M38A, C38A2)
son(C6B1, F6B)
grandfather_chain(GF14, C14B1)
daughter(F6B, GM6)
sibling(GU36, GF36)
son(C9B1, F9B)
cousin_chain(C8B2, C8A2)
wife(M27B, F27B)
cousin_chain(C40B1, C40A2)
father(GF17, F17A)
sister(M24A, M24B)
daughter(C29A2, M29A)
mother(M24A, C24A2)
daughter(C18A2, M18A)
grandmother_chain(GM23, C23A1)
daughter(C13A2, M13A)
cousin_chain(C25B2, C25A1)
daughter(C13B2, M13B)
daughter(C11B2, M11B)
brother(GU23, GF23)
sibling(GU6, GF6)
sibling(GA12, GM12)
sibling(GM30, GA30)
grandmother_chain(GM37, C37A2)
sibling(M13A, M13B)
paternal_uncle_chain(GU40, F40A)
cousin_chain(C33A1, C33B2)
paternal_uncle_chain(GU26, F26A)
maternal_aunt_chain(GA38, F38B)
sibling(F2B, F2A)
sibling(GF4, GU4)
daughter(C5B2, M5B)
wife(GM34, GF34)
father(F37A, C37A2)
brother(F2A, F2B)
father(GF4, F4B)
grandmother_chain(GM28, C28B1)
sister(M34A, M34B)
maternal_aunt_chain(GA40, F40B)
grandfather_chain(GF14, C14A2)
husband(GF19, GM19)
cousin_chain(C14B2, C14A1)
mother(M6B, C6B1)
mother(M13B, C13B1)
husband(F37B, M37B)
brother(GU11, GF11)
mother(M13A, C13A1)
sibling(F39A, F39B)
cousin_chain(C22A2, C22B2)
grandmother_chain(GM33, C33A2)
sibling(M35A, M35B)
father(F36B, C36B2)
daughter(C19B2, M19B)
cousin_chain(C22B1, C22A1)
paternal_uncle_chain(GU28, F28B)
sibling(F33A, F33B)
maternal_aunt_chain(GA11, F11A)
father(F18B, C18B2)
sibling(GU25, GF25)
sister(M1A, M1B)
paternal_uncle_chain(GU34, F34A)
son(C40A1, F40A)
daughter(F11B, GM11)
sister(M16A, M16B)
grandfather_chain(GF30, C30A2)
cousin_chain(C23B1, C23A2)
cousin_chain(C13A1, C13B1)
cousin_chain(C33B1, C33A2)
sister(GA5, GM5)
sibling(M14A, M14B)
daughter(F28B, GM28)
husband(F20B, M20B)
husband(F7A, M7A)
son(C19A1, F19A)
sister(M26A, M26B)
husband(GF22, GM22)
sister(M32A, M32B)
mother(M28A, C28A1)
cousin_chain(C28A1, C28B1)
brother(F39A, F39B)
son(C20B1, F20B)
wife(GM7, GF7)
sibling(M15A, M15B)
brother(F33A, F33B)
daughter(F29B, GM29)
grandmother_chain(GM3, C3B2)
sister(M19A, M19B)
mother(M18B, C18B2)
mother(M16B, C16B1)
mother(GM25, F25B)
son(C33B1, F33B)
father(GF20, F20A)
wife(M31B, F31B)
son(F18A, GF18)
cousin_chain(C40A1, C40B1)
maternal_aunt_chain(GA26, F26A)
cousin_chain(C38A2, C38B1)
grandfather_chain(GF29, C29A2)
wife(M8B, F8B)
maternal_aunt_chain(GA9, F9B)
sibling(M39A, M39B)
paternal_uncle_chain(GU38, F38A)
wife(M17A, F17A)
father(F40B, C40B2)
mother(GM8, F8A)
mother(M33A, C33A2)
sibling(M6B, M6A)
mother(GM31, F31A)
father(F1B, C1B2)
cousin_chain(C39A2, C39B1)
cousin_chain(C7A1, C7B2)
sibling(M18B, M18A)
sibling(GU30, GF30)
daughter(C24B2, M24B)
cousin_chain(C31A2, C31B2)
cousin_chain(C37B2, C37A1)
grandmother_chain(GM38, C38B1)
cousin_chain(C30A2, C30B1)
husband(F3B, M3B)
paternal_uncle_chain(GU3, F3A)
grandmother_chain(GM2, C2A2)
father(F23A, C23A1)
paternal_uncle_chain(GU9, F9B)
grandfather_chain(GF21, C21A2)
mother(GM15, F15A)
mother(GM3, F3A)
grandmother_chain(GM39, C39A2)
husband(F18A, M18A)
daughter(F13B, GM13)
wife(M18B, F18B)
cousin_chain(C29B2, C29A1)
sibling(F28A, F28B)
son(C5A1, F5A)
cousin_chain(C26A1, C26B1)
daughter(C29B2, M29B)
father(GF7, F7A)
father(F4A, C4A2)
mother(GM40, F40B)
husband(F30A, M30A)
brother(F22A, F22B)
mother(M22A, C22A2)
father(F25A, C25A2)
cousin_chain(C15B1, C15A1)
brother(GU28, GF28)
paternal_uncle_chain(GU2, F2A)
wife(M38B, F38B)
father(GF39, F39A)
grandfather_chain(GF5, C5B1)
cousin_chain(C32B1, C32A2)
daughter(F23B, GM23)
cousin_chain(C28A2, C28B1)
father(F21B, C21B1)
cousin_chain(C30B1, C30A2)
father(F35B, C35B1)
sibling(GA34, GM34)
son(F33A, GF33)
wife(GM33, GF33)
wife(M34A, F34A)
wife(M10B, F10B)
husband(GF38, GM38)
maternal_aunt_chain(GA31, F31A)
son(C13B1, F13B)
sibling(GM15, GA15)
daughter(C36A2, M36A)
mother(GM20, F20A)
sibling(GA3, GM3)
mother(M32B, C32B1)
grandfather_chain(GF27, C27A1)
grandmother_chain(GM20, C20B1)
husband(F40A, M40A)
father(GF13, F13B)
cousin_chain(C11B1, C11A1)
daughter(C14A2, M14A)
mother(M17B, C17B2)
maternal_aunt_chain(GA9, F9A)
father(GF17, F17B)
father(F39A, C39A1)
maternal_aunt_chain(GA21, F21B)
paternal_uncle_chain(GU18, F18B)
grandfather_chain(GF38, C38A1)
son(C39A1, F39A)
maternal_aunt_chain(GA13, F13A)
grandfather_chain(GF1, C1B2)
cousin_chain(C10B2, C10A1)
cousin_chain(C22B2, C22A2)
husband(F12B, M12B)
grandfather_chain(GF27, C27A2)
mother(M9A, C9A1)
son(C36A1, F36A)
sibling(GA26, GM26)
mother(GM23, F23B)
father(F40A, C40A2)
grandfather_chain(GF32, C32B1)
wife(M2B, F2B)
paternal_uncle_chain(GU9, F9A)
sibling(GA17, GM17)
sibling(F11A, F11B)
grandfather_chain(GF7, C7A1)
cousin_chain(C34A1, C34B1)
husband(F24B, M24B)
grandmother_chain(GM6, C6B1)
cousin_chain(C12B1, C12A1)
wife(GM39, GF39)
grandmother_chain(GM11, C11A1)
sibling(F13B, F13A)
son(F29A, GF29)
grandmother_chain(GM6, C6A1)
cousin_chain(C3B1, C3A1)
cousin_chain(C9A2, C9B1)
sibling(GF28, GU28)
sibling(M40B, M40A)
father(F9A, C9A1)
cousin_chain(C40B1, C40A1)
sister(GA6, GM6)
cousin_chain(C15A1, C15B1)
father(F14B, C14B2)
daughter(F15B, GM15)
grandmother_chain(GM17, C17A2)
cousin_chain(C21A1, C21B2)
sibling(M28B, M28A)
sibling(M30B, M30A)
brother(GU3, GF3)
wife(M23B, F23B)
father(F30A, C30A2)
mother(GM16, F16A)
cousin_chain(C24B1, C24A2)
sibling(GA11, GM11)
cousin_chain(C3A2, C3B2)
father(GF11, F11B)
cousin_chain(C14A2, C14B2)
grandfather_chain(GF35, C35A1)
brother(GU7, GF7)
cousin_chain(C14A1, C14B1)
sibling(GM8, GA8)
brother(GU33, GF33)
grandfather_chain(GF20, C20B2)
paternal_uncle_chain(GU36, F36B)
grandfather_chain(GF2, C2B1)
father(F28B, C28B2)
sibling(GM34, GA34)
father(GF21, F21A)
sibling(GF20, GU20)
cousin_chain(C32A1, C32B1)
grandmother_chain(GM35, C35A1)
grandfather_chain(GF17, C17A2)
mother(M35B, C35B1)
cousin_chain(C21B2, C21A2)
mother(M20A, C20A2)
sister(M25A, M25B)
brother(F11A, F11B)
sibling(GA30, GM30)
cousin_chain(C19B2, C19A1)
wife(GM32, GF32)
cousin_chain(C19B2, C19A2)
cousin_chain(C32B2, C32A2)
cousin_chain(C31B2, C31A2)
cousin_chain(C17B1, C17A2)
brother(F12A, F12B)
cousin_chain(C31B1, C31A2)
grandmother_chain(GM24, C24A1)
father(F33B, C33B1)
wife(GM24, GF24)
brother(F34A, F34B)
maternal_aunt_chain(GA30, F30A)
sibling(GA13, GM13)
sibling(F21B, F21A)
cousin_chain(C24A2, C24B1)
maternal_aunt_chain(GA4, F4B)
father(GF15, F15A)
mother(GM40, F40A)
mother(GM25, F25A)
wife(GM36, GF36)
wife(M13B, F13B)
paternal_uncle_chain(GU39, F39B)
father(GF4, F4A)
paternal_uncle_chain(GU36, F36A)
cousin_chain(C28B2, C28A1)
cousin_chain(C1B1, C1A2)
grandfather_chain(GF6, C6B2)
daughter(F31B, GM31)
sister(M22A, M22B)
sibling(GU22, GF22)
cousin_chain(C24A1, C24B2)
sister(GA27, GM27)
son(C3A1, F3A)
grandfather_chain(GF19, C19A1)
husband(F14B, M14B)
grandfather_chain(GF19, C19A2)
father(F12B, C12B1)
cousin_chain(C27A2, C27B1)
sibling(M15B, M15A)
wife(M4B, F4B)
sister(M29A, M29B)
mother(M19B, C19B1)
daughter(C22A2, M22A)
paternal_uncle_chain(GU20, F20B)
sister(GA14, GM14)
paternal_uncle_chain(GU15, F15A)
daughter(F27B, GM27)
daughter(C22B2, M22B)
paternal_uncle_chain(GU3, F3B)
maternal_aunt_chain(GA28, F28A)
grandfather_chain(GF30, C30B1)
cousin_chain(C9B1, C9A2)
maternal_aunt_chain(GA30, F30B)
sibling(M38B, M38A)
sister(GA28, GM28)
mother(M15A, C15A2)
cousin_chain(C36A1, C36B1)
father(F2B, C2B1)
cousin_chain(C27B2, C27A1)
daughter(C1A2, M1A)
mother(M20B, C20B1)
grandfather_chain(GF17, C17A1)
husband(F30B, M30B)
brother(GU31, GF31)
daughter(F39B, GM39)
daughter(C30B2, M30B)
brother(GU22, GF22)
sibling(M35B, M35A)
sibling(GM26, GA26)
daughter(C25B2, M25B)
son(C29B1, F29B)
son(C11A1, F11A)
husband(F13A, M13A)
cousin_chain(C17B1, C17A1)
father(GF37, F37A)
mother(M21A, C21A1)
cousin_chain(C38A1, C38B2)
sibling(M1B, M1A)
sibling(M34B, M34A)
son(C37A1, F37A)
daughter(C39A2, M39A)
cousin_chain(C27B2, C27A2)
mother(M27B, C27B2)
cousin_chain(C19A2, C19B2)
grandfather_chain(GF22, C22A2)
husband(GF6, GM6)
grandmother_chain(GM29, C29A1)
son(C17A1, F17A)
grandfather_chain(GF28, C28A1)
son(F36A, GF36)
grandfather_chain(GF39, C39B2)
son(F26A, GF26)
husband(F35A, M35A)
grandfather_chain(GF2, C2A1)
sister(GA36, GM36)
daughter(C3A2, M3A)
father(F27A, C27A2)
sibling(M7A, M7B)
cousin_chain(C6A2, C6B2)
husband(GF16, GM16)
son(F6A, GF6)
cousin_chain(C10A2, C10B2)
sibling(GU27, GF27)
mother(GM21, F21B)
daughter(C40A2, M40A)
mother(M12B, C12B1)
mother(M40A, C40A2)
mother(M32A, C32A2)
grandmother_chain(GM17, C17B2)
mother(M23A, C23A1)
maternal_aunt_chain(GA11, F11B)
sibling(F10B, F10A)
maternal_aunt_chain(GA17, F17A)
sibling(F35A, F35B)
sibling(F29B, F29A)
grandmother_chain(GM33, C33B2)
daughter(C20B2, M20B)
father(GF38, F38B)
father(GF28, F28A)
cousin_chain(C5A2, C5B1)
grandfather_chain(GF5, C5B2)
grandmother_chain(GM4, C4A2)
grandmother_chain(GM11, C11B1)
sibling(F15A, F15B)
cousin_chain(C38B2, C38A2)
father(F32A, C32A2)
grandfather_chain(GF3, C3B1)
cousin_chain(C25A2, C25B2)
sibling(GM1, GA1)
father(F3B, C3B1)
brother(GU27, GF27)
brother(GU20, GF20)
husband(GF33, GM33)
